Genotype	Total_flies	Dead_Flies	Genotype	Sex	Treatment	1hr_count	2hr_count	3hr_count	24hr_count
2B	27	3	2B	Female	1hr	2	7	10	6
2B	25	5	2B	Female	1hr	4	12	17	12
2B	30	0	2B	Female	1hr	18	9	9	3
2B	24	6	2B	Female	1hr	12	10	16	10
2B	30	0	2B	Female	1hr	4	14	14	6
2B	29	1	2B	Female	1hr	24	20	21	5
2B	26	4	2B	Male	1hr	17	18	22	7
2B	20	10	2B	Male	1hr	12	3	13	11
2B	20	10	2B	Male	1hr	5	5	15	10
2B	20	10	2B	Male	1hr	16	7	17	11
2B	26	4	2B	Male	1hr	20	17	21	10
2B	20	10	2B	Male	1hr	20	12	22	16
2A	26	4	2A	Female	1hr	20	18	22	14
2A	19	11	2A	Female	1hr	19	10	21	15
2A	27	3	2A	Female	1hr	24	16	19	6
2A	24	6	2A	Female	1hr	17	12	18	8
2A	28	2	2A	Female	1hr	21	11	13	9
2A	28	2	2A	Female	1hr	28	23	25	10
2A	24	6	2A	Male	1hr	22	14	20	11
2A	22	8	2A	Male	1hr	15	8	16	9
2A	20	10	2A	Male	1hr	29	15	25	16
2A	25	5	2A	Male	1hr	18	10	15	8
2A	22	8	2A	Male	1hr	17	13	21	14
2A	22	8	2A	Male	1hr	15	18	26	12
1A	30	0	1A	Female	1hr	30	23	23	4
1A	29	1	1A	Female	1hr	29	28	29	11
1A	27	3	1A	Female	1hr	27	24	27	9
1A	30	0	1A	Female	1hr	30			4
1A	26	4	1A	Female	1hr	26	23	27	5
1A	26	4	1A	Female	1hr	26	21	25	4
1A	27	3	1A	Male	1hr	27	23	26	8
1A	29	1	1A	Male	1hr	29	23	24	4
1A	29	1	1A	Male	1hr	29	23	24	4
1A	28	2	1A	Male	1hr	28	23	25	5
1A	27	3	1A	Male	1hr	27	22	25	7
1A	26	4	1A	Male	1hr	26	23	27	6
