Genotype	Total_flies	Dead_Flies	Sex	Treatment	1hr_count	2hr_count	24hr_count
1A	20	0	Female	1hr	3	7	9
1A	20	0	Female	1hr	0	4	5
1A	20	2	Female	1hr	0	1	10
1A	20	1	Female	1hr	1	5	4
1A	20	2	Male	1hr	0	3	0
1A	20	2	Male	1hr	0	1	0
1A	20	4	Male	1hr	0	6	0
2A	20	0	Female	1hr	1	10	2
2A	20	1	Female	1hr	1	2	1
2A	20	1	Female	1hr	0	6	3
2A	20	3	Female	1hr	1	9	1
2A	20	0	Male	1hr	3	8	5
2A	20	0	Male	1hr	1	1	1
2A	20	0	Male	1hr	1	3	1
2A	20	1	Male	1hr	1	2	0
2B	20	3	Female	1hr	0	0	0
2B	20	2	Female	1hr	6	7	3
2B	20	1	Female	1hr	1	2	1
2B	20	1	Female	1hr	0	2	0
2B	20	4	Male	1hr	0	1	0
2B	20	1	Male	1hr	1	1	0
2B	20	3	Male	1hr	1	1	0
2B	20	1	Male	1hr	2	2	0
