ID	Total_Flies	Dead_Flies	Percentage	Genotype	Sex	Treatment	30mins	1st_Actual_Numbers	2hr_count_30min	Actual Number of Dead Flies	3_hours_1hr	24_hours 
1	25	5	20	2B	Female	30min	13	8	10	5		9
2	27	3	11.11111111	2B	Female	30min	4	1	3	0		3
3	26	4	15.38461538	2B	Female	30min	8	4	8	4		6
4	28	2	7.142857143	2B	Female	30min	5	3	5	3		5
5	27	3	11.11111111	2B	Female	30min	5	2	6	3		3
6	29	1	3.448275862	2B	Female	30min	5	4	4	3		3
7	27	3	11.11111111	2B	Male	30min	5	2	5	2		
8	19	11	57.89473684	2B	Male	30min	10	-1	10	-1		
9	24	6	25	2B	Male	30min	12	6	8	2		
10	23	7	30.43478261	2B	Male	30min	13	6	11	4		
11	27	3	11.11111111	2B	Male	30min	6	3	4	1		
12	22	8	36.36363636	2B	Male	30min	10	2	10	2		
13	26	4	15.38461538	2A	Female	30min	9	5	10	6		
14	28	2	7.142857143	2A	Female	30min	10	8	9	7		
15	20	10	50	2A	Female	30min	12	2	14	4		
16	29	1	3.448275862	2A	Female	30min	9	8	7	6		
17	21	9	42.85714286	2A	Female	30min	10	1	10	1		
18	29	1	3.448275862	2A	Female	30min	7	6	7	6		
19	25	5	20	2A	Male	30min	6	1	8	3		
20	23	7	30.43478261	2A	Male	30min	10	3	12	5		
21	26	4	15.38461538	2A	Male	30min	6	2	7	3		
22	27	3	11.11111111	2A	Male	30min	5	2	6	3		
23	24	6	25	2A	Male	30min	10	4	10	4		
24	20	10	50	2A	Male	30min	13	3	16	6		
25	30	0	0	1A	Female	30min	20	20	2	2		
26	29	1	3.448275862	1A	Female	30min	23	22	9	8		
27	30	0	0	1A	Female	30min	5	5	10	10		
28	26	4	15.38461538	1A	Female	30min	5	1	4	0		4
29	29	1	3.448275862	1A	Female	30min	10	9	6	5		5
30	29	1	3.448275862	1A	Female	30min	9	8	12	11		6
31	30	0	0	1A	Female	30min	4	4	4	4		4
32	30	0	0	1A	Male	30min	6	6	8	8		3
33	30	0	0	1A	Male	30min	14	14	1	1		1
34	30	0	0	1A	Male	30min	10	10	4	4		2
35	28	2	7.142857143	1A	Male	30min	5	3	3	1		2
36	28	2	7.142857143	1A	Male	30min	12	10	5	3		3
