Genotype	Total_Flies	Dead_Flies	Sex	Treatment	0hr_count	2hr_count	24hr_count
2B	25	5	Female	30min	8	5	9
2B	27	3	Female	30min	1	0	3
2B	26	4	Female	30min	4	4	6
2B	28	2	Female	30min	3	3	5
2B	27	3	Female	30min	2	3	3
2B	29	1	Female	30min	4	3	3
2B	27	3	Male	30min	2	2	3
2B	19	11	Male	30min	-1	-1	10
2B	24	6	Male	30min	6	2	8
2B	23	7	Male	30min	6	4	9
2B	27	3	Male	30min	3	1	2
2B	22	8	Male	30min	2	2	10
2A	26	4	Female	30min	5	6	8
2A	28	2	Female	30min	8	7	6
2A	20	10	Female	30min	2	4	12
2A	29	1	Female	30min	8	6	5
2A	21	9	Female	30min	1	1	10
2A	29	1	Female	30min	6	6	3
2A	25	5	Male	30min	1	3	6
2A	23	7	Male	30min	3	5	7
2A	26	4	Male	30min	2	3	7
2A	27	3	Male	30min	2	3	5
2A	24	6	Male	30min	4	4	9
2A	20	10	Male	30min	3	6	13
1A	30	0	Female	30min	20	2	1
1A	29	1	Female	30min	22	8	4
1A	30	0	Female	30min	5	10	1
1A	26	4	Female	30min	1	0	4
1A	29	1	Female	30min	9	5	5
1A	29	1	Female	30min	8	11	6
1A	30	0	Female	30min	4	4	4
1A	30	0	Male	30min	6	8	3
1A	30	0	Male	30min	14	1	1
1A	30	0	Male	30min	10	4	2
1A	28	2	Male	30min	3	1	2
1A	28	2	Male	30min	10	3	3
