Genotype	Total_flies	Dead_Flies	Sex	Treatment	0hr_count	1hr_count	24hr_count
1A	20	1	Female	30min	0	0	3
1A	20	0	Female	30min	3	1	5
1A	20	3	Female	30min	9	6	4
1A	20	3	Female	30min	9	4	4
1A	20	2	Male	30min	8	8	17
1A	20	3	Male	30min	2	11	16
1A	20	1	Male	30min	10	13	15
2A	20	1	Female	30min	1	3	6
2A	20	1	Female	30min	1	0	4
2A	20	0	Female	30min	1	1	6
2A	20	1	Female	30min	3	2	3
2A	20	2	Male	30min	7	6	13
2A	20	1	Male	30min	16	13	14
2A	20	1	Male	30min	10	13	20
2A	20	1	Male	30min	9	11	17
2B	20	4	Female	30min	0	0	8
2B	20	3	Female	30min	2	2	10
2B	20	1	Female	30min	2	1	6
2B	20	2	Female	30min	4	0	8
2B	20	4	Male	30min	3	3	17
2B	20	2	Male	30min	9	7	18
2B	20	5	Male	30min	10	9	15
