Genotype	Total_flies	Dead_Flies	Sex	Treatment	0hr_count	1hr_count	3hr_count	24hr_count
3A	20	0	Female		0	5	11	0
3A	20	0	Female		0	1	1	0
3A	20	0	Female		0	1	5	0
3A	20	0	Female		0	0	0	0
3A	20	0	Male		0	6	0	0
3A	20	0	Male		0	0	0	0
3A	20	0	Male		0	5	11	14
3A	20	0	Male		0	0	0	0
14A	20	0	Female		0	0	0	12
14A	20	0	Female		0	2	13	0
14A	20	0	Male		0	0	0	0
14A	20	0	Male		0	0	0	0
15B	20	0	Female		0	0	0	0
15B	20	0	Female		0	1	3	0
15B	20	0	Female		0	0	0	0
15B	20	0	Female		0	0	0	0
15B	20	0	Male		0	0	0	0
15B	20	0	Male		0	0	0	0
15B	20	0	Male		0	0	0	0
15B	20	0	Male		0	0	0	0
15H	20	0	Female		0	0	0	0
15H	20	0	Female		0	0	0	0
15H	20	0	Female		0	0	0	0
15H	20	0	Female		0	0	0	0
15H	20	0	Male		0	0	0	0
15H	20	0	Male		0	0	0	0
15H	20	0	Male		0	0	0	0
15H	20	0	Male		0	0	0	0
